geo,time_period,population_density,hospital_beds,at_risk_of_poverty,low_work_intensity,gdp_current_prices,rd_expenditure,internet_access,tertiary_education
FRJ1,1995,81.1,129.99362182617188,14.210060119628906,8.633131980895996,21661.462890625,0.9200824499130249,78.25846862792969,31.729320526123047
FRJ1,1996,81.8,133.33665466308594,14.115974426269531,8.6581392288208,21314.91796875,0.9160930514335632,77.6185073852539,29.008522033691406
FRJ1,1997,82.6,133.33665466308594,14.115974426269531,8.6581392288208,21314.91796875,0.9296501874923706,77.6185073852539,29.008522033691406
FRJ1,1998,83.4,133.33665466308594,14.115974426269531,8.6581392288208,21314.91796875,0.9296501874923706,77.58470153808594,29.008522033691406
FRJ1,1999,84.3,133.33665466308594,14.115974426269531,8.805020332336426,21105.46875,0.9296501874923706,77.58470153808594,29.008522033691406
FRJ1,2000,85.4,147.1685333251953,14.894783020019531,9.90864086151123,18500.0,0.889309287071228,75.43163299560547,24.401426315307617
FRJ1,2001,86.6,152.25396728515625,15.084173202514648,9.601576805114746,19200.0,0.8537846803665161,75.63188171386719,24.38763999938965
FRJ1,2002,87.9,160.49459838867188,16.51101303100586,9.131818771362305,19600.0,0.8859053254127502,73.78894805908203,25.339670181274414
FRJ1,2003,89.2,176.91360473632812,16.628908157348633,9.114774703979492,20300.0,0.9024906754493713,73.54155731201172,27.34245491027832
FRJ1,2004,90.5,160.61460876464844,15.430492401123047,9.392867088317871,21100.0,0.9541672468185425,76.66049194335938,26.11993980407715
FRJ1,2005,91.9,151.38204956054688,13.30856704711914,8.962690353393555,21700.0,0.9513048529624939,78.85442352294922,28.700973510742188
FRJ1,2006,93.1,151.38204956054688,13.217448234558105,8.83287525177002,22700.0,0.8035994172096252,79.59101104736328,29.21275520324707
FRJ1,2007,93.9,153.19284057617188,12.979385375976562,8.499216079711914,23600.0,3.2565670013427734,79.78935241699219,35.765045166015625
FRJ1,2008,94.8,157.97445678710938,13.950556755065918,9.998351097106934,24100.0,1.0948119163513184,79.34430694580078,28.065303802490234
FRJ1,2009,95.8,158.15341186523438,14.492392539978027,9.990591049194336,23600.0,3.8906641006469727,78.31233215332031,35.36085891723633
FRJ1,2010,96.9,141.38,13.304277420043945,9.476656913757324,23800.0,1.1343202590942383,79.25182342529297,28.74470329284668
FRJ1,2011,98.1,143.9,13.937215805053711,10.479832649230957,24600.0,1.3158185482025146,81.1082763671875,28.850934982299805
FRJ1,2012,99.2,144.71,13.912735939025879,10.653607368469238,24400.0,1.3065242767333984,80.84330749511719,28.850934982299805
FRJ1,2013,100.1,145.52,14.260174751281738,10.76482105255127,24300.0,1.3696956634521484,79.33020782470703,29.0
FRJ1,2014,101.0,147.49,14.574414253234863,10.657759666442871,24600.0,1.2958199977874756,85.91,31.4
FRJ1,2015,101.7,148.38,16.610551834106445,10.507692337036133,24900.0,1.2494211196899414,77.24,31.3
FRJ1,2016,102.4,148.28,16.19389533996582,9.894974708557129,25100.0,1.4052541255950928,81.68,31.2
FRJ1,2017,103.1,149.93,15.24067497253418,8.747638702392578,25500.0,1.3286168575286865,84.33,32.0
FRJ1,2018,103.8,152.46,14.56502628326416,7.929208278656006,26000.0,1.3874021768569946,89.89,33.3
FRJ1,2019,104.4,153.88,14.43431282043457,7.401467323303223,26700.0,1.385701298713684,87.73,34.5
FRJ1,2020,104.7,154.93,14.714458465576172,6.867220878601074,26000.0,1.519924283027649,90.43218231201172,41.0
FRJ1,2021,105.4,155.95,14.017725944519043,7.370855808258057,28400.0,2.59,94.29,38.4
FRJ1,2022,107.4,158.66,18.1,8.263073921203613,29600.0,1.3361026048660278,92.61,37.6
FRJ1,2023,108.2,189.18338012695312,18.1,8.413251876831055,32400.0,1.443332552909851,92.61,38.9
FRJ1,2024,68.43960571289062,163.23117065429688,14.569826126098633,6.561934947967529,35299.015625,2.341146945953369,94.64,41.6
FRJ2,1990,53.8,141.7368927001953,13.683117866516113,8.763016700744629,22720.22265625,0.8133561611175537,77.40019226074219,28.99664306640625
FRJ2,1991,54.1,141.7368927001953,13.683117866516113,8.306702613830566,23087.54296875,0.8320336937904358,77.40738677978516,28.29703712463379
FRJ2,1992,54.4,144.815185546875,13.928775787353516,8.437868118286133,22669.462890625,0.8202686905860901,77.64826202392578,28.99664306640625
FRJ2,1993,54.7,144.815185546875,13.928775787353516,8.437868118286133,22669.462890625,0.8202686905860901,77.64826202392578,28.99664306640625
FRJ2,1994,54.9,144.815185546875,13.928775787353516,8.435347557067871,22669.462890625,0.8202686905860901,77.64826202392578,28.99664306640625
FRJ2,1995,55.1,144.815185546875,13.928775787353516,8.435347557067871,22669.462890625,0.8202686905860901,77.64826202392578,28.99664306640625
FRJ2,1996,55.4,144.815185546875,13.928775787353516,8.435347557067871,22669.462890625,0.8202686905860901,77.64826202392578,28.99664306640625
FRJ2,1997,55.7,139.3097381591797,13.85212230682373,7.950379848480225,22764.806640625,0.7201521992683411,77.56805419921875,29.683696746826172
FRJ2,1998,56.1,139.3097381591797,13.85212230682373,7.950379848480225,22764.806640625,0.7201521992683411,77.56805419921875,29.683696746826172
FRJ2,1999,56.5,139.3097381591797,13.85212230682373,7.950379848480225,22764.806640625,0.7201521992683411,77.56805419921875,29.683696746826172
FRJ2,2000,57.2,154.38153076171875,16.88877296447754,8.330751419067383,20600.0,0.8761337399482727,72.11341857910156,28.550466537475586
FRJ2,2001,57.9,143.88478088378906,16.28670310974121,8.698636054992676,21800.0,0.9501550197601318,71.38726043701172,27.66728973388672
FRJ2,2002,58.6,149.47821044921875,16.546422958374023,8.1713285446167,22400.0,0.9537720084190369,71.98191833496094,27.896806716918945
FRJ2,2003,59.3,152.1667022705078,16.546422958374023,8.041015625,22800.0,0.9035763144493103,72.16667175292969,28.04296112060547
FRJ2,2004,60.1,152.1667022705078,16.172069549560547,8.200611114501953,23700.0,1.19081449508667,72.97853088378906,27.813547134399414
FRJ2,2005,60.9,154.42996215820312,13.375086784362793,8.282214164733887,24800.0,1.3123078346252441,81.17009735107422,28.72122573852539
